repository_name,date,views,unique_visitors/cloners
mbpol_openmm_plugin,2018-07-01,18,4
mbpol_openmm_plugin,2018-07-02,36,3
mbpol_openmm_plugin,2018-07-03,1,1
mbpol_openmm_plugin,2018-07-04,24,1
mbpol_openmm_plugin,2018-07-05,45,4
mbpol_openmm_plugin,2018-07-06,120,6
mbpol_openmm_plugin,2018-07-07,2,1
mbpol_openmm_plugin,2018-07-08,1,1
mbpol_openmm_plugin,2018-07-09,8,2
mbpol_openmm_plugin,2018-07-10,1,1
mbpol_openmm_plugin,2018-07-11,3,2
mbpol_openmm_plugin,2018-07-12,2,2
mbpol_openmm_plugin,2018-07-13,1,1
mbpol_openmm_plugin,2018-07-15,3,1
