repository_name,date,views,unique_visitors/cloners
mbpol_openmm_plugin,2018-05-15,46,4
mbpol_openmm_plugin,2018-05-16,263,5
mbpol_openmm_plugin,2018-05-17,50,4
mbpol_openmm_plugin,2018-05-18,1,1
mbpol_openmm_plugin,2018-05-19,1,1
mbpol_openmm_plugin,2018-05-20,22,4
mbpol_openmm_plugin,2018-05-21,56,2
mbpol_openmm_plugin,2018-05-22,22,5
mbpol_openmm_plugin,2018-05-23,9,5
mbpol_openmm_plugin,2018-05-24,53,5
mbpol_openmm_plugin,2018-05-25,8,4
mbpol_openmm_plugin,2018-05-26,4,1
mbpol_openmm_plugin,2018-05-27,6,3
mbpol_openmm_plugin,2018-05-28,52,3
