repository_name,date,views,unique_visitors/cloners
mbpol_openmm_plugin,2018-04-08,12,1
mbpol_openmm_plugin,2018-04-10,1,1
mbpol_openmm_plugin,2018-04-11,42,5
mbpol_openmm_plugin,2018-04-12,16,4
mbpol_openmm_plugin,2018-04-13,6,4
mbpol_openmm_plugin,2018-04-14,1,1
mbpol_openmm_plugin,2018-04-15,1,1
mbpol_openmm_plugin,2018-04-17,1,1
mbpol_openmm_plugin,2018-04-18,1,1
mbpol_openmm_plugin,2018-04-19,3,2
mbpol_openmm_plugin,2018-04-20,6,1
mbpol_openmm_plugin,2018-04-21,13,3
mbpol_openmm_plugin,2018-04-22,1,1
