repository_name,date,views,unique_visitors/cloners
mbpol_openmm_plugin,2018-08-26,3,2
mbpol_openmm_plugin,2018-08-27,2,2
mbpol_openmm_plugin,2018-08-28,6,1
mbpol_openmm_plugin,2018-08-29,6,1
mbpol_openmm_plugin,2018-08-30,3,1
mbpol_openmm_plugin,2018-08-31,3,2
mbpol_openmm_plugin,2018-09-01,1,1
mbpol_openmm_plugin,2018-09-02,1,1
mbpol_openmm_plugin,2018-09-03,3,2
mbpol_openmm_plugin,2018-09-04,1,1
mbpol_openmm_plugin,2018-09-05,21,4
mbpol_openmm_plugin,2018-09-06,63,3
mbpol_openmm_plugin,2018-09-07,1,1
mbpol_openmm_plugin,2018-09-09,1,1
