repository_name,date,views,unique_visitors/cloners
mbpol_openmm_plugin,2018-05-06,17,1
mbpol_openmm_plugin,2018-05-07,47,4
mbpol_openmm_plugin,2018-05-08,54,4
mbpol_openmm_plugin,2018-05-09,42,4
mbpol_openmm_plugin,2018-05-10,2,1
mbpol_openmm_plugin,2018-05-11,21,2
mbpol_openmm_plugin,2018-05-13,139,7
mbpol_openmm_plugin,2018-05-14,22,6
mbpol_openmm_plugin,2018-05-15,46,4
mbpol_openmm_plugin,2018-05-16,263,5
mbpol_openmm_plugin,2018-05-17,50,4
mbpol_openmm_plugin,2018-05-18,1,1
mbpol_openmm_plugin,2018-05-19,1,1
mbpol_openmm_plugin,2018-05-20,1,1
