repository_name,date,views,unique_visitors/cloners
mbpol_openmm_plugin,2018-04-29,1,1
mbpol_openmm_plugin,2018-04-30,1,1
mbpol_openmm_plugin,2018-05-01,9,4
mbpol_openmm_plugin,2018-05-02,36,4
mbpol_openmm_plugin,2018-05-03,83,4
mbpol_openmm_plugin,2018-05-04,5,2
mbpol_openmm_plugin,2018-05-05,2,2
mbpol_openmm_plugin,2018-05-06,17,1
mbpol_openmm_plugin,2018-05-07,47,4
mbpol_openmm_plugin,2018-05-08,54,4
mbpol_openmm_plugin,2018-05-09,42,4
mbpol_openmm_plugin,2018-05-10,2,1
mbpol_openmm_plugin,2018-05-11,21,2
mbpol_openmm_plugin,2018-05-13,1,1
