repository_name,date,views,unique_visitors/cloners
mbpol_openmm_plugin,2018-05-27,3,2
mbpol_openmm_plugin,2018-05-28,52,3
mbpol_openmm_plugin,2018-05-29,22,4
mbpol_openmm_plugin,2018-05-30,42,4
mbpol_openmm_plugin,2018-05-31,29,3
mbpol_openmm_plugin,2018-06-01,11,3
mbpol_openmm_plugin,2018-06-03,12,3
mbpol_openmm_plugin,2018-06-04,11,2
mbpol_openmm_plugin,2018-06-05,2,2
mbpol_openmm_plugin,2018-06-06,18,4
mbpol_openmm_plugin,2018-06-07,63,4
mbpol_openmm_plugin,2018-06-08,2,2
mbpol_openmm_plugin,2018-06-09,14,2
