repository_name,date,views,unique_visitors/cloners
mbpol_openmm_plugin,2018-06-03,12,3
mbpol_openmm_plugin,2018-06-04,11,2
mbpol_openmm_plugin,2018-06-05,2,2
mbpol_openmm_plugin,2018-06-06,18,4
mbpol_openmm_plugin,2018-06-07,63,4
mbpol_openmm_plugin,2018-06-08,2,2
mbpol_openmm_plugin,2018-06-09,14,2
mbpol_openmm_plugin,2018-06-10,13,2
mbpol_openmm_plugin,2018-06-11,12,3
mbpol_openmm_plugin,2018-06-12,28,2
mbpol_openmm_plugin,2018-06-13,68,5
mbpol_openmm_plugin,2018-06-14,21,2
mbpol_openmm_plugin,2018-06-15,2,1
mbpol_openmm_plugin,2018-06-16,4,1
