repository_name,date,views,unique_visitors/cloners
mbpol_openmm_plugin,2018-06-25,56,5
mbpol_openmm_plugin,2018-06-26,12,3
mbpol_openmm_plugin,2018-06-27,3,2
mbpol_openmm_plugin,2018-06-28,13,4
mbpol_openmm_plugin,2018-06-29,1,1
mbpol_openmm_plugin,2018-06-30,14,3
mbpol_openmm_plugin,2018-07-01,18,4
mbpol_openmm_plugin,2018-07-02,36,3
mbpol_openmm_plugin,2018-07-03,1,1
mbpol_openmm_plugin,2018-07-04,24,1
mbpol_openmm_plugin,2018-07-05,45,4
mbpol_openmm_plugin,2018-07-06,120,6
mbpol_openmm_plugin,2018-07-07,2,1
