repository_name,date,views,unique_visitors/cloners
mbpol_openmm_plugin,2018-05-20,21,3
mbpol_openmm_plugin,2018-05-21,56,2
mbpol_openmm_plugin,2018-05-22,22,5
mbpol_openmm_plugin,2018-05-23,9,5
mbpol_openmm_plugin,2018-05-24,53,5
mbpol_openmm_plugin,2018-05-25,8,4
mbpol_openmm_plugin,2018-05-26,4,1
mbpol_openmm_plugin,2018-05-27,6,3
mbpol_openmm_plugin,2018-05-28,52,3
mbpol_openmm_plugin,2018-05-29,22,4
mbpol_openmm_plugin,2018-05-30,42,4
mbpol_openmm_plugin,2018-05-31,29,3
mbpol_openmm_plugin,2018-06-01,11,3
